time_s,dist_m,vel_ms,accel_ms2
4.4528,0.0009,0.0157,0.0176
4.4640,0.0011,0.0154,0.0149
4.4752,0.0013,0.0146,0.0123
4.4863,0.0015,0.0141,0.0096
4.4975,0.0016,0.0124,0.0069
4.5086,0.0017,0.0122,0.0042
4.5198,0.0019,0.0123,0.0016
4.5310,0.0020,0.0122,-0.0011
4.5421,0.0021,0.0122,-0.0038
4.5533,0.0023,0.0100,-0.0065
4.5644,0.0024,0.0085,-0.0091
4.5756,0.0025,0.0101,-0.0118
4.5868,0.0026,0.0100,-0.0145
4.5979,0.0027,0.0084,-0.0172
4.6091,0.0028,0.0103,-0.0198
4.6202,0.0029,0.0120,-0.0225
4.6314,0.0030,0.0102,-0.0216
4.6426,0.0031,0.0104,-0.0206
4.6537,0.0033,0.0122,-0.0197
4.6649,0.0034,0.0123,-0.0187
4.6760,0.0036,0.0122,-0.0178
4.6872,0.0037,0.0125,-0.0168
4.6984,0.0038,0.0130,-0.0159
4.7095,0.0040,0.0111,-0.0149
4.7207,0.0041,0.0081,-0.0140
4.7318,0.0042,0.0074,-0.0130
4.7430,0.0042,0.0068,-0.0121
4.7542,0.0043,0.0061,-0.0111
4.7653,0.0044,0.0066,-0.0102
4.7765,0.0045,0.0079,-0.0092
4.7876,0.0046,0.0078,-0.0083
4.7988,0.0046,0.0064,-0.0073
4.8100,0.0047,0.0067,-0.0064
4.8211,0.0048,0.0064,-0.0054
4.8323,0.0048,0.0047,-0.0049
4.8434,0.0049,0.0031,-0.0044
4.8546,0.0049,0.0018,-0.0039
4.8658,0.0049,0.0022,-0.0034
4.8769,0.0050,0.0011,-0.0029
4.8881,0.0050,0.0005,-0.0024
4.8992,0.0050,0.0032,-0.0019
4.9104,0.0050,0.0048,-0.0014
4.9216,0.0051,0.0050,-0.0009
4.9327,0.0051,0.0048,-0.0004
4.9439,0.0052,0.0046,0.0001
4.9550,0.0052,0.0036,0.0006
4.9662,0.0053,0.0040,0.0011
4.9774,0.0053,0.0063,0.0016
4.9885,0.0054,0.0074,0.0021
4.9997,0.0055,0.0088,0.0026
5.0108,0.0056,0.0098,0.0031
5.0220,0.0057,0.0102,0.0036
5.0332,0.0058,0.0100,0.0025
5.0443,0.0059,0.0081,0.0014
5.0555,0.0060,0.0085,0.0004
5.0666,0.0061,0.0084,-0.0007
5.0778,0.0062,0.0074,-0.0018
5.0890,0.0063,0.0101,-0.0029
5.1001,0.0064,0.0130,-0.0039
5.1113,0.0066,0.0153,-0.0050
5.1224,0.0068,0.0166,-0.0061
5.1336,0.0070,0.0158,-0.0071
5.1448,0.0071,0.0155,-0.0082
5.1559,0.0073,0.0131,-0.0093
5.1671,0.0074,0.0092,-0.0104
