timestamp_us,angle_counts,magnet_ok
4658436,2369,1
4662148,2359,1
4665872,2349,1
4669596,2340,1
4673308,2330,1
4677032,2319,1
4680756,2307,1
4684480,2297,1
4688204,2287,1
4691916,2276,1
4695644,2267,1
4699368,2256,1
4703076,2243,1
4706800,2230,1
4710524,2214,1
4714232,2200,1
4717956,2180,1
4721672,2158,1
4725396,2135,1
4729120,2113,1
4732828,2091,1
4736552,2071,1
4740276,2050,1
4743988,2029,1
4747712,2004,1
4751436,1980,1
4755148,1954,1
4758872,1928,1
4762584,1902,1
4766308,1875,1
4770032,1850,1
4773740,1826,1
4777464,1801,1
4781188,1777,1
4784896,1754,1
4788620,1730,1
4792340,1708,1
4796064,1686,1
4799788,1665,1
4803500,1643,1
4807224,1623,1
4810948,1603,1
4814656,1582,1
4818380,1560,1
4822104,1539,1
4825816,1516,1
4829540,1494,1
4833252,1470,1
4836976,1447,1
4840700,1421,1
4844412,1396,1
4848136,1370,1
4851860,1342,1
4855572,1314,1
4859296,1284,1
4863020,1253,1
4866744,1222,1
4870468,1190,1
4874176,1157,1
4877900,1123,1
4881624,1089,1
4885336,1058,1
4889060,1026,1
4892784,996,1
4896492,964,1
4900208,934,1
4903920,902,1
4907640,871,1
4911356,838,1
4915068,808,1
4918784,778,1
4922500,748,1
4926208,720,1
4929924,688,1
4933640,657,1
4937356,628,1
4941072,604,1
4944784,578,1
4948500,554,1
4952216,529,1
4955928,502,1
4959644,478,1
4963360,455,1
4967076,432,1
4970792,410,1
4974504,389,1
4978220,368,1
4981936,346,1
4985648,324,1
4989364,301,1
4993080,279,1
4996796,260,1
5000512,242,1
5004220,223,1
5007936,208,1
5011652,190,1
5015364,171,1
5019080,152,1
5022796,133,1
5026512,117,1
5030228,101,1
5033940,85,1
5037656,68,1
5041376,52,1
5045088,36,1
5048804,18,1
5052520,6,1
5056228,0,1
5059936,4075,1
5063648,4060,1
5067376,4044,1
5071100,4028,1
5074812,4011,1
5078536,3994,1
5082260,3979,1
5085972,3968,1
5089696,3956,1
5093420,3943,1
5097144,3928,1
5100868,3909,1
5104576,3889,1
5108300,3875,1
5112024,3856,1
5115732,3838,1
5119456,3820,1
5123180,3803,1
5126892,3785,1
5130616,3767,1
5134328,3749,1
5138052,3728,1
5141776,3710,1
5145484,3690,1
5149208,3673,1
5152932,3654,1
5156644,3635,1
5160372,3618,1
5164096,3605,1
5167808,3591,1
5171532,3573,1
5175240,3556,1
5178964,3538,1
5182688,3521,1
5186396,3504,1
5190120,3490,1
5193844,3477,1
5197552,3462,1
5201276,3448,1
5204988,3431,1
5208712,3416,1
5212436,3400,1
5216144,3386,1
5219872,3369,1
5223596,3353,1
5227308,3336,1
5231032,3319,1
5234756,3303,1
5238468,3286,1
5242192,3270,1
5245904,3257,1
5249628,3243,1
5253352,3226,1
5257064,3207,1
5260788,3189,1
5264512,3172,1
5268224,3157,1
5271948,3143,1
5275664,3126,1
5279388,3110,1
5283112,3092,1
5286824,3073,1
5290548,3056,1
5294276,3039,1
5297988,3022,1
5301712,3004,1
5305436,2986,1
5309144,2967,1
5312868,2948,1
5316580,2930,1
5320304,2912,1
5324028,2895,1
5327740,2877,1
5331464,2862,1
5335192,2845,1
5338900,2829,1
5342624,2811,1
5346348,2797,1
5350072,2779,1
5353796,2762,1
5357504,2744,1
5361232,2727,1
5364956,2709,1
5368664,2696,1
5372388,2682,1
5376112,2665,1
5379820,2649,1
5383544,2628,1
5387256,2607,1
5390980,2587,1
5394704,2566,1
5398416,2545,1
5402140,2525,1
5405864,2502,1
5409572,2482,1
5413296,2460,1
5417020,2440,1
5420744,2416,1
5424468,2395,1
5428176,2372,1
5431900,2350,1
5435624,2328,1
5439332,2310,1
5443056,2288,1
5446780,2270,1
5450492,2246,1
5454216,2223,1
5457932,2201,1
5461656,2179,1
5465380,2158,1
5469088,2137,1
5472812,2117,1
5476536,2095,1
5480248,2074,1
5483972,2052,1
5487696,2034,1
5491408,2014,1
5495132,1994,1
5498840,1972,1
5502564,1950,1
5506288,1929,1
5510000,1910,1
5513724,1889,1
5517448,1871,1
5521156,1849,1
5524880,1833,1
5528604,1814,1
5532328,1793,1
5536052,1773,1
5539760,1752,1
5543484,1730,1
5547208,1711,1
5550916,1689,1
5554640,1669,1
5558364,1648,1
5562076,1627,1
5565800,1606,1
5569512,1584,1
5573236,1564,1
5576960,1542,1
5580668,1524,1
5584396,1503,1
5588120,1483,1
5591832,1461,1
5595556,1439,1
5599280,1418,1
5603004,1399,1
5606728,1379,1
5610440,1360,1
5614164,1341,1
5617888,1322,1
5621600,1303,1
5625324,1284,1
5629048,1265,1
5632760,1248,1
5636484,1229,1
5640200,1212,1
5643924,1195,1
5647648,1178,1
5651356,1162,1
5655084,1146,1
5658808,1130,1
5662516,1114,1
5666240,1100,1
5669964,1089,1
5673676,1076,1
5677400,1065,1
5681112,1054,1
5684836,1044,1
5688560,1033,1
5692272,1021,1
5695996,1009,1
5699720,996,1
5703428,986,1
5707144,974,1
5710864,962,1
5714580,951,1
5718300,937,1
5722008,924,1
5725724,913,1
5729444,900,1
5733152,889,1
5736868,881,1
5740584,870,1
5744300,861,1
5748016,850,1
5751728,841,1
5755448,831,1
5759164,820,1
5762872,809,1
5766588,800,1
5770304,791,1
5774024,784,1
5777740,777,1
5781448,766,1
5785164,754,1
5788880,745,1
5792588,737,1
5796304,732,1
5800020,724,1
5803736,714,1
5807452,702,1
5811164,692,1
5814880,683,1
5818596,674,1
5822304,666,1
5826020,658,1
5829736,648,1
5833456,638,1
5837172,624,1
5840880,612,1
5844596,598,1
5848312,584,1
5852024,569,1
5855740,556,1
5859456,542,1
5863164,533,1
5866880,522,1
5870588,510,1
5874304,499,1
5878020,486,1
5881728,475,1
5885444,463,1
5889160,452,1
5892868,440,1
5896584,428,1
5900300,416,1
5904016,402,1
5907732,389,1
5911440,377,1
5915156,362,1
5918872,349,1
5922580,337,1
5926296,326,1
5930012,315,1
5933728,305,1
5937444,296,1
5941156,287,1
5944872,280,1
5948588,273,1
5952300,263,1
5956016,252,1
5959732,242,1
5963448,233,1
5967164,222,1
5970876,211,1
5974592,200,1
5978308,188,1
5982016,180,1
5985732,168,1
5989448,158,1
5993164,147,1
5996880,138,1
6000592,130,1
6004308,121,1
6008024,115,1
6011736,106,1
6015456,98,1
6019172,90,1
6022888,84,1
6026604,76,1
6030312,68,1
6034028,62,1
6037744,57,1
6041452,50,1
6045168,43,1
6048888,34,1
6052604,27,1
6056320,21,1
6060036,16,1
6063752,9,1
6067460,3,1
6071160,0,1
6074872,0,1
6078580,0,1
6082288,0,1
6085996,4083,1
6089704,4081,1
6093432,4079,1
6097156,4075,1
6100868,4069,1
6104592,4065,1
6108316,4061,1
6112024,4059,1
6115748,4056,1
6119472,4053,1
6123196,4051,1
6126920,4048,1
6130632,4044,1
6134356,4041,1
6138084,4037,1
6141796,4033,1
6145520,4029,1
6149244,4027,1
6152956,4023,1
6156680,4018,1
6160396,4013,1
6164120,4007,1
6167844,4003,1
6171556,4000,1
6175280,3997,1
6179004,3994,1
6182716,3990,1
6186440,3983,1
6190164,3976,1
6193876,3967,1
6197600,3960,1
6201308,3954,1
6205032,3948,1
6208756,3940,1
6212468,3930,1
6216192,3921,1
6219916,3913,1
6223628,3905,1
6227352,3897,1
6231076,3890,1
6234800,3882,1
6238524,3874,1
6242236,3866,1
6245960,3860,1
6249688,3851,1
6253400,3842,1
6257124,3834,1
6260848,3825,1
6264560,3816,1
6268284,3804,1
6271996,3793,1
6275720,3782,1
6279444,3769,1
6283156,3758,1
6286880,3744,1
6290604,3732,1
6294316,3716,1
6298040,3702,1
6301764,3690,1
6305472,3676,1
6309200,3664,1
6312912,3648,1
6316636,3633,1
6320360,3618,1
6324072,3602,1
6327796,3585,1
6331520,3570,1
6335228,3557,1
6338952,3541,1
6342668,3522,1
6346392,3501,1
6350116,3480,1
6353824,3459,1
6357548,3442,1
6361272,3427,1
6364980,3408,1
6368704,3391,1
6372428,3374,1
6376140,3353,1
6379864,3333,1
6383576,3312,1
6387300,3291,1
6391024,3273,1
6394732,3256,1
6398456,3239,1
6402180,3221,1
6405892,3204,1
6409616,3186,1
6413332,3169,1
6417056,3152,1
6420780,3134,1
6424492,3115,1
6428216,3096,1
6431940,3074,1
6435648,3054,1
6439372,3034,1
6443096,3012,1
6446804,2996,1
6450528,2975,1
6454240,2960,1
6457964,2946,1
6461688,2925,1
6465400,2909,1
6469124,2893,1
6472848,2874,1
6476560,2861,1
6480284,2841,1
6484008,2823,1
6487732,2807,1
6491456,2790,1
6495168,2773,1
6498896,2756,1
6502620,2739,1
6506332,2728,1
6510056,2716,1
6513780,2704,1
6517492,2690,1
6521216,2676,1
6524924,2663,1
6528648,2646,1
6532372,2634,1
6536084,2616,1
6539808,2603,1
6543532,2587,1
6547240,2572,1
6550968,2557,1
6554692,2540,1
6558400,2523,1
6562124,2508,1
6565836,2490,1
6569560,2474,1
6573284,2456,1
6576992,2437,1
6580716,2422,1
6584440,2408,1
6588152,2395,1
6591876,2377,1
6595592,2362,1
6599316,2341,1
6603040,2327,1
6606752,2309,1
6610476,2291,1
6614200,2271,1
6617912,2250,1
6621636,2231,1
6625360,2210,1
6629068,2191,1
6632792,2170,1
6636500,2148,1
6640224,2127,1
6643948,2104,1
6647660,2082,1
6651384,2056,1
6655108,2034,1
6658820,2010,1
6662544,1987,1
6666260,1962,1
6669988,1934,1
6673712,1909,1
6677424,1879,1
6681148,1857,1
6684872,1833,1
6688584,1807,1
6692308,1785,1
6696032,1754,1
6699744,1726,1
6703468,1698,1
6707180,1670,1
6710908,1646,1
6714632,1625,1
6718340,1605,1
6722068,1583,1
6725792,1563,1
6729500,1537,1
6733224,1514,1
6736948,1489,1
6740672,1469,1
6744396,1446,1
6748108,1427,1
6751832,1405,1
6755556,1386,1
6759264,1364,1
6762988,1344,1
6766712,1322,1
6770424,1301,1
6774148,1279,1
6777864,1258,1
6781588,1235,1
6785312,1212,1
6789024,1191,1
6792748,1169,1
6796472,1148,1
6800184,1128,1
6803908,1106,1
6807632,1085,1
6811344,1065,1
6815068,1043,1
6818780,1021,1
6822504,999,1
6826220,977,1
6829932,954,1
6833648,931,1
6837364,906,1
6841076,881,1
6844796,854,1
6848504,826,1
6852220,796,1
6855936,764,1
6859648,733,1
6863364,700,1
6867080,669,1
6870788,635,1
6874504,601,1
6878220,568,1
6881936,531,1
6885652,496,1
6889360,457,1
6893076,422,1
6896796,384,1
6900508,349,1
6904224,312,1
6907940,274,1
6911656,239,1
6915372,202,1
6919080,167,1
6922796,131,1
6926512,99,1
6930220,64,1
6933936,34,1
6937652,2,1
6941360,4063,1
6945084,4033,1
6948796,4001,1
6952520,3968,1
6956248,3935,1
6959956,3904,1
6963680,3872,1
6967404,3843,1
6971116,3810,1
6974840,3779,1
